Region1,Region2,Connection,Nor_vs_AD_t_statistic,Nor_vs_AD_p_value,Nor_vs_AD_cohens_d,Nor_vs_MCI_t_statistic,Nor_vs_MCI_p_value,Nor_vs_MCI_cohens_d,Nor_vs_DSC_t_statistic,Nor_vs_DSC_p_value,Nor_vs_DSC_cohens_d
20,24,20-24,3.785648654805872,0.0016275684873320714,0.4735683500766754,6.07220775886108,2.5820957213938675e-07,0.777276337146759,4.953073045684349,7.54131093362401e-05,0.6357240676879883
20,32,20-32,-3.2955634645411083,0.006724069500194934,-0.4158519506454468,-2.857687556802311,0.018873509997628605,-0.3682527244091034,-5.383718972226339,1.4851227462678532e-05,-0.699377179145813
20,35,20-35,-3.472651601488642,0.004160560009765284,-0.4409170150756836,-3.7106659919234226,0.0019081692176880164,-0.47397932410240173,-6.775455665473246,3.6096701000958606e-08,-0.8607945442199707
20,36,20-36,4.114384332626268,0.0005588691058875541,0.5101549625396729,2.538815024071216,0.03905090119695023,0.3208501636981964,4.077716342194938,0.0012593212352194772,0.519377589225769
20,37,20-37,-2.743515731625964,0.02668315956628328,-0.35704854130744934,-4.770584493047385,4.9343989607308316e-05,-0.6167328357696533,-4.905274178304936,8.912849275358298e-05,-0.6383554935455322
20,43,20-43,-6.788717555924143,1.974842553202695e-08,-0.8554683923721313,-4.32319439200833,0.00024289762944459627,-0.5450507402420044,-3.472224273198911,0.006423116657694435,-0.4385654032230377
20,48,20-48,5.281162276772163,8.650488499793876e-06,0.6784553527832031,3.780433856767937,0.0015420882802627608,0.4873638451099396,4.182978065093583,0.0009328033473584019,0.5514951348304749
20,49,20-49,-2.586356332197912,0.03767413798881505,-0.3384793698787689,-4.038267221293996,0.0006616917418809142,-0.5160714387893677,-4.126871217373368,0.0010825660461161268,-0.5331637263298035
20,55,20-55,-6.254770727297579,1.5580741130932118e-07,-0.7962697744369507,-3.114198519721884,0.009557016994956882,-0.392558217048645,-2.7836801773513558,0.03178212046837824,-0.35767626762390137
21,29,21-29,3.2812362160925796,0.00705465114375102,0.4206043779850006,3.615076161084566,0.002534246457320172,0.4521241784095764,3.488516398909411,0.006207236572202407,0.4497339129447937
21,32,21-32,3.158145258131995,0.00969712238796994,0.40385639667510986,3.579380786267443,0.0027445884488641417,0.4548957347869873,5.615068045041272,5.682054496506899e-06,0.7206792235374451
21,34,21-34,6.059594325509122,3.2141000130400015e-07,0.7786994576454163,6.355575757725598,9.379545297979316e-08,0.7961273193359375,3.473978362739303,0.0064175009229263755,0.44303756952285767
21,43,21-43,-3.4985502231832295,0.0038419362279873454,-0.4409365653991699,-2.471038370086781,0.045661164894928274,-0.31433579325675964,-3.1700901964965698,0.013443840670468402,-0.39389175176620483
21,64,21-64,-2.6618522280653254,0.03164506376110128,-0.3349480926990509,-3.0961298802847135,0.010060016613328362,-0.38431960344314575,-3.089128906795982,0.0162397300429656,-0.3913193345069885
22,36,22-36,-3.479190144955921,0.0041042981304225444,-0.44575315713882446,-3.3707269261216264,0.004854934465912265,-0.4236815273761749,-4.121689279162422,0.0010951463160032387,-0.5357182621955872
22,48,22-48,-6.147832570092719,2.3618851363250823e-07,-0.7749817967414856,-5.018444522538167,1.8768448692900733e-05,-0.6310337781906128,-3.4710686045172663,0.006423116657694435,-0.43955516815185547
23,30,23-30,5.2555307652718195,9.439105890756376e-06,0.6670610308647156,3.4219883105422273,0.004202669132038367,0.43930357694625854,-3.936987994192384,0.001896467744163698,-0.5160305500030518
23,33,23-33,5.6693739757640484,1.7840748134937431e-06,0.7220801711082458,3.9998961562980164,0.0007425668680553219,0.5056288838386536,3.31770738009852,0.009186683801174754,0.42072781920433044
23,35,23-35,-6.520045034422927,6.20474600444859e-08,-0.8184260129928589,-4.60873838322719,8.920837596683778e-05,-0.584213137626648,-3.4203459072778135,0.007478201824984784,-0.4483991265296936
23,52,23-52,3.802763005639129,0.001535037104832816,0.4788086414337158,4.939875870733756,2.5006116330525878e-05,0.6231366991996765,5.045612589910667,5.607241644589692e-05,0.656687319278717
23,67,23-67,-4.195283944096275,0.00043325478836188304,-0.5317537188529968,-6.686399560920648,2.0383044499874067e-08,-0.8494188785552979,-2.684087125278885,0.039684273931028705,-0.3445855379104614
24,35,24-35,4.805160778282043,5.2512834296642074e-05,0.5956844687461853,4.818606483279203,4.154757965493083e-05,0.5943872332572937,3.1525649599081125,0.014068103583560757,0.40808606147766113
24,36,24-36,-2.9014219916782924,0.01884468168632689,-0.3830966651439667,-4.63620558926083,8.241404232439156e-05,-0.5945007801055908,-3.397942194257806,0.007784450355947123,-0.4357754588127136
24,38,24-38,2.4983118336191135,0.04433557509933671,0.3247285485267639,2.708815037454279,0.027247385579675914,0.3528396785259247,2.8378142744514756,0.028381998846406624,0.3740329444408417
24,42,24-42,-3.6212597955830303,0.002674980949147535,-0.46027836203575134,-2.619664356754672,0.03311223466366574,-0.3340443968772888,-2.752867611495786,0.033926869727431606,-0.3596816956996918
24,43,24-43,3.3006876186801923,0.006654602194690204,0.42299872636795044,4.109183236955542,0.0005297788117153842,0.5186277627944946,3.875080552909373,0.002287749083376376,0.49132657051086426
24,48,24-48,-4.651782576791871,9.127289783882505e-05,-0.5897654891014099,-5.651380523270881,1.569604796769363e-06,-0.7147588729858398,-2.9495474816610487,0.02174664686273559,-0.36990469694137573
24,59,24-59,2.5713801048545406,0.03842241215887404,0.3269893229007721,5.666946435643219,1.4751054564282666e-06,0.7185631394386292,2.7118936163060776,0.03715572378713257,0.3466836214065552
25,63,25-63,-3.7572763891334855,0.0017947691543844754,-0.4876677691936493,-3.450009687613511,0.00390182530202663,-0.4391752779483795,-3.7741243587685185,0.0029321174812195275,-0.48156625032424927
26,50,26-50,-4.886413788040637,3.694935989868469e-05,-0.6182777285575867,-3.5815432631096056,0.0027439663176067482,-0.4505530297756195,-4.181739582215395,0.0009113499970266576,-0.5373762845993042
26,53,26-53,-4.187471615267142,0.00044304500981074736,-0.5312353372573853,-3.1386557480687625,0.008972207530214042,-0.39713042974472046,-2.824251772436172,0.028911838317060973,-0.3597421646118164
27,48,27-48,2.5951910390628425,0.03668280565200106,0.330511212348938,2.605261525503165,0.034224949119279924,0.3319571614265442,2.8159797983826627,0.029400168169828763,0.36299675703048706
27,52,27-52,-2.69362595844788,0.02944878754861311,-0.34280112385749817,-2.7486699171459015,0.024460030750478475,-0.34910818934440613,-2.99250612063823,0.020586540365615157,-0.3998553156852722
28,37,28-37,-2.783413682964393,0.02442628219540517,-0.36114487051963806,-2.525767735751924,0.040260515339280996,-0.320019006729126,-3.2037865646701293,0.012241450681409827,-0.41653671860694885
28,52,28-52,3.0792360607128444,0.0118733570321265,0.38863304257392883,4.362280797566694,0.00021482848785988197,0.5550930500030518,3.4358575687280033,0.0070980331724375964,0.4416305422782898
28,53,28-53,-5.8983937699196245,6.172496582205438e-07,-0.7543940544128418,-4.290146918064131,0.00027353939742777753,-0.5460299253463745,-3.062836229655549,0.01701820841928611,-0.39032527804374695
28,56,28-56,4.683725152155847,8.189589278109717e-05,0.6023756861686707,2.5959088138342907,0.03529776413640899,0.33910730481147766,3.5008149446140115,0.0060448985263262985,0.4546252489089966
30,38,30-38,-7.275513232243074,1.8045065227358722e-09,-0.9235787391662598,-6.200127950043908,1.6462822508350324e-07,-0.7879540920257568,-4.888429416108164,9.128052452344082e-05,-0.6344789862632751
30,56,30-56,-6.256180105141766,1.5580741130932118e-07,-0.800077497959137,-5.00014896868673,1.998137633662369e-05,-0.632000744342804,-4.830089830585771,0.00010985192009064665,-0.6304087042808533
31,44,31-44,-6.339990299276881,1.2431045617910662e-07,-0.78875333070755,-3.1424029545425176,0.008959194721634603,-0.4040626287460327,-4.510369013191139,0.0003300709678852668,-0.5700411796569824
31,46,31-46,-6.276974664497933,1.5580741130932118e-07,-0.8211838006973267,-5.595181244939701,2.4777737212102603e-06,-0.7343925833702087,-4.795146241664173,0.00013315867815484107,-0.6364197731018066
31,47,31-47,4.151187064338699,0.0004955798545534915,0.5364382266998291,-3.127248402835327,0.009310765517001164,-0.4027642011642456,-4.590253007377813,0.00025404623874746934,-0.592443585395813
31,49,31-49,-4.9307348071657575,3.234583063544788e-05,-0.6351147294044495,-2.4511304899690125,0.04761335500857811,-0.31374359130859375,-3.5733321936361317,0.0050032726793632935,-0.4555644690990448
32,33,32-33,4.7420072601422305,6.546320284880873e-05,0.5917087197303772,5.273792625141251,7.370325716152947e-06,0.6726176738739014,4.903472560309874,8.912849275358298e-05,0.6409751772880554
32,35,32-35,-2.6030517595193143,0.03628548920580303,-0.33857911825180054,-4.3312609367434876,0.00024959815749852173,-0.5640369057655334,-3.4808194738764824,0.006439885999243216,-0.46318086981773376
32,37,32-37,-2.955421219034831,0.016208968339625453,-0.376089483499527,-5.082935622934501,1.5085264973421831e-05,-0.6460837721824646,-2.568105006177134,0.04925288987831995,-0.3231276869773865
32,51,32-51,3.4579113203295777,0.0043054012258763605,0.4382191002368927,4.254459890979106,0.0003158443625748627,0.548081636428833,4.617606174410578,0.00024355161116985938,0.6064488887786865
33,34,33-34,3.3640205967870953,0.0057106881091597,0.44242429733276367,5.883805711966135,7.142079623865244e-07,0.7740987539291382,3.940917969218194,0.0019759684205199585,0.5310359597206116
34,35,34-35,-6.569746258293799,5.387635403179372e-08,-0.8372657299041748,-3.428941253159971,0.004155645759600292,-0.44140511751174927,-2.889167652499548,0.025741048174599247,-0.3832424581050873
34,65,34-65,-2.5202489440861804,0.04294395634615787,-0.3286994993686676,-4.447712461402661,0.00016777961625963654,-0.5789569616317749,-3.8493514762998666,0.002506597353820853,-0.5081289410591125
35,36,35-36,2.4920361749814335,0.04469840931227673,0.3224879503250122,3.5055495226142064,0.003345322345513501,0.4417590796947479,-3.0426143255334526,0.01788447569893219,-0.39029866456985474
35,55,35-55,-3.777180546636504,0.0016677830729895857,-0.484101802110672,-4.832593824530545,3.750772550611747e-05,-0.6056535243988037,-3.805850996282095,0.00271300008213955,-0.48758700489997864
35,59,35-59,-3.986622359373744,0.0008519339130705233,-0.5093629360198975,-6.040223648955043,2.9896806379748205e-07,-0.7791063785552979,-3.6007242057771016,0.0047591039061623455,-0.4741137623786926
36,38,36-38,6.573788595931329,5.417969900344188e-08,0.8498633503913879,5.397963783708015,4.4356212548761545e-06,0.6926501393318176,5.73693528815447,3.6717349856712064e-06,0.7444794178009033
36,44,36-44,-3.135476659732943,0.010296829618141292,-0.4043612480163574,-4.079646533150886,0.0005774441882193968,-0.5137331485748291,-3.1203827259362797,0.015401587316681516,-0.39860284328460693
36,45,36-45,-3.7584088364036226,0.001771466417236842,-0.4828468859195709,-4.340688648599417,0.00023154419547671324,-0.552854061126709,-5.582386135968288,6.13598685894774e-06,-0.7156890034675598
36,56,36-56,5.949369356561871,4.906772824760143e-07,0.7629996538162231,7.194356325168546,2.2299295852761378e-09,0.9161107540130615,7.65164866814847,2.8772738656512403e-10,0.9834588170051575
37,45,37-45,-4.166963740489888,0.00046924279370702684,-0.533953845500946,-5.849251650446058,6.310703195635773e-07,-0.7431618571281433,-3.088988231476863,0.0162397300429656,-0.382199764251709
37,55,37-55,-3.5752280703039356,0.0030972291291479262,-0.45978766679763794,-3.29563038175987,0.005864845665954549,-0.41257885098457336,-4.0389646209536565,0.00144118388092783,-0.4982050657272339
38,47,38-47,-3.256456889030649,0.0075204996399055165,-0.40899646282196045,-4.218024166808171,0.0003577645478080307,-0.5237443447113037,-4.542759120854758,0.00029059064886162824,-0.5750543475151062
38,48,38-48,3.0607025350019432,0.01252915579484673,0.38096317648887634,6.541947213651893,4.074502478843207e-08,0.8207453489303589,3.8543179223401784,0.002408070955055637,0.49012550711631775
38,52,38-52,5.432620845738081,4.875984950102113e-06,0.689828634262085,3.707974291180798,0.0019339470248739127,0.47633373737335205,3.4668511299173783,0.006499959836561981,0.4480515122413635
40,41,40-41,5.046184175317152,2.031063292714032e-05,0.6287533044815063,4.0751312559994615,0.0005926419085436982,0.5066576600074768,3.097167773538088,0.01610319597411189,0.395993709564209
40,47,40-47,-4.244020819260869,0.00037299276522473676,-0.544059693813324,-4.4166425668162095,0.00017605572120932557,-0.5532311797142029,-4.072044478942211,0.001291369013194031,-0.5296249389648438
40,54,40-54,-2.5806359763371525,0.0379080886719432,-0.333448588848114,-6.91955547971893,8.037245146876307e-09,-0.8861687183380127,-4.634290026679055,0.00022477985181997427,-0.6005184650421143
42,58,42-58,-5.989934856648268,4.1224424967893846e-07,-0.7687518000602722,-4.5007214368166695,0.00013542606549737287,-0.5748958587646484,-2.8761398793543655,0.02608706469171001,-0.370576947927475
44,55,44-55,3.203185240842646,0.008663605498497203,0.3997633159160614,3.9573751406725908,0.000869663683567899,0.49446117877960205,3.247498606492094,0.010833049622434721,0.4122103750705719
46,47,46-47,3.9408400429653088,0.0010719219164394636,0.5250240564346313,2.5870872587140026,0.035915138876133214,0.33957111835479736,2.5796424471776334,0.04925288987831995,0.35280492901802063
47,55,47-55,4.322834061134694,0.0003105156268512061,0.5660815834999084,2.9064130467557896,0.016581002562824364,0.37035638093948364,3.737346048300032,0.00333717430673436,0.49195995926856995
48,54,48-54,3.891894115911904,0.0011808360671882526,0.483407586812973,4.541879884278909,0.00011530286608702529,0.5726331472396851,3.1418287000046687,0.014469082143708015,0.3919043242931366
49,63,49-63,3.5475235985736417,0.0033336242827638023,0.45882242918014526,2.7857757412198327,0.02241552119925749,0.36114761233329773,3.3474531669857654,0.008734239336722044,0.43613898754119873
49,67,49-67,-6.655730224312281,4.208361835398238e-08,-0.8644895553588867,-4.440147421331103,0.0001666543087715895,-0.5712064504623413,-4.944418518513508,7.654100517344843e-05,-0.6337912082672119
52,64,52-64,3.921236521950916,0.0010597074675248014,0.5001079440116882,2.9681741870164107,0.014047126790930788,0.3743647038936615,2.905902052525544,0.02435079331961774,0.3694121539592743
54,56,54-56,4.718881687345743,7.074248340005186e-05,0.5965127944946289,4.614297046337457,8.920837596683778e-05,0.5930219888687134,5.067823838959036,5.2965351678169264e-05,0.6495453715324402
55,57,55-57,6.125262110853223,2.449794786861591e-07,0.7810615301132202,5.262748335271336,7.477532947051262e-06,0.6691473722457886,6.489222580663979,1.5006970921918732e-07,0.8510470390319824
55,59,55-59,-4.407625037142939,0.00021898533259418363,-0.5628347396850586,-3.399779464093368,0.004461442255467577,-0.42863181233406067,-4.172660164207259,0.0009328033473584019,-0.5377148985862732
55,67,55-67,-5.798068507232142,9.764171922031797e-07,-0.7442421317100525,-3.35542776856011,0.00508728115847213,-0.4304007589817047,-4.042912632707379,0.00144118388092783,-0.5301313996315002
56,57,56-57,5.303391831952479,8.472386594872315e-06,0.6866670846939087,4.283433169009011,0.00028855612310554706,0.5539665818214417,8.062425153466295,4.1224568008194447e-11,1.0310941934585571
56,61,56-61,-3.935081196454699,0.0010105971106226842,-0.5003228187561035,-4.489037371172197,0.0001396836805082176,-0.5665819644927979,-5.509765253476608,8.427988397003067e-06,-0.6977808475494385
56,63,56-63,-3.2594909686400797,0.00764453859594958,-0.4296819865703583,-5.282213868012056,7.65903785545519e-06,-0.6893886923789978,-3.538343236498697,0.005682766219746226,-0.47159016132354736
57,65,57-65,-3.2309538268627787,0.00807118075215596,-0.4160214960575104,-3.722072514660615,0.0018452980107563307,-0.4766160249710083,-4.278369076875849,0.000730613662676179,-0.5642854571342468
58,61,58-61,4.86177089628842,4.035872683053362e-05,0.614362895488739,4.991098396516896,2.0443266070873966e-05,0.6303808689117432,2.77750596767763,0.03230496657096388,0.36135751008987427
