cnn_dim,clinical_score,n_samples,pearson_r,r_squared,p_value,slope,intercept,std_err,abs_r
11,CDR,100,-0.6481878735179895,0.4201475193757731,3.0922371686115816e-13,-0.002136351729962165,0.4007612485642131,0.00025352312338607254,0.6481878735179895
3,延迟回忆,100,0.6453229499996869,0.41644170979629835,4.2430657703102333e-13,0.016611501764570522,6.073011503884525,0.0019863733044101295,0.6453229499996869
22,CDR_SOB,100,0.6413124495067631,0.4112816578923646,6.570636862140388e-13,0.010062374041846577,1.4715495695345417,0.001216106281911554,0.6413124495067631
19,CDR,100,-0.6376538095076749,0.40660238077965016,9.737598239197324e-13,-0.0019145452579358837,0.4293322770167758,0.00023363641863180214,0.6376538095076749
5,CDR_SOB,100,0.6361879180263266,0.40473506704267204,1.1383237319113976e-12,0.009914430252994662,1.2920197503069897,0.0012145753323617294,0.6361879180263266
22,MMSE,100,-0.6343427353669612,0.40239070591283854,1.3839295133435266e-12,-0.01996337317670285,25.851633350754206,0.0024575682534519103,0.6343427353669612
25,CDR_SOB,100,0.6294226623513205,0.3961728878814244,2.3152904776775164e-12,0.012805312088602657,1.4829726852678469,0.001596949043405233,0.6294226623513205
3,CDR,100,-0.6271138932959369,0.39327183516478775,2.93847385105923e-12,-0.0013307220007013369,0.4038184118586956,0.00016696481273783883,0.6271138932959369
0,长时延迟再认,100,-0.6191309560045186,0.38332314068306916,6.5997931292712774e-12,-0.031020217385810015,10.029290449691599,0.003974459777548105,0.6191309560045186
0,CDR,100,0.6172561105143747,0.38100510596733395,7.954716924125834e-12,0.0031657810426453962,0.32843523595831287,0.00040761107141109443,0.6172561105143747
19,即刻记忆,100,0.6163651180540779,0.3799059587538174,8.689114750557483e-12,0.03611198863922642,21.11226053049233,0.004660463312879337,0.6163651180540779
12,CDR,100,0.6150946206962462,0.378341392409459,9.850381500156844e-12,0.0013362005071179555,0.3147228123786733,0.00017301853928254079,0.6150946206962462
0,即刻记忆,100,-0.6146406117480084,0.37778308160996604,1.0300571862029738e-11,-0.06151335330369553,23.033325576307575,0.007974546964536122,0.6146406117480084
5,CDR,100,0.6144311982100907,0.3775256973338878,1.051484882518781e-11,0.001733359828862463,0.27118878884569,0.0002248345989858723,0.6144311982100907
12,连线测验B,100,0.6121202088105164,0.37469115003423026,1.3183876371917457e-11,0.25825375892297997,114.65906491624582,0.0337011083107657,0.6121202088105164
22,CDR,100,0.611035190490997,0.37336400401836894,1.4651862516105912e-11,0.0017355220361573891,0.30335005263294956,0.00022712165338773074,0.611035190490997
0,线索回忆,100,-0.6086408339645304,0.37044366476903906,1.8469570197975142e-11,-0.032876914417307966,8.60780284928799,0.004329464935115797,0.6086408339645304
3,线索回忆,100,0.6060690526027496,0.36731969652279445,2.3634127739491733e-11,0.013544953300714929,7.833987728447624,0.0017957030608135804,0.6060690526027496
19,延迟回忆,100,0.6055438528559525,0.3666833577316314,2.4847908614437566e-11,0.02205551229216041,5.8212939460958,0.0029279857746949047,0.6055438528559525
19,CDR_SOB,100,-0.6032880972391228,0.3639565282704013,3.077922749483397e-11,-0.010006272180084645,2.162361574801759,0.0013362198435071734,0.6032880972391228
11,CDR_SOB,100,-0.5926766794977011,0.3512656464204207,8.241228228072531e-11,-0.010790872732089849,2.0058881220206626,0.0014813549800042549,0.5926766794977011
29,CDR_SOB,100,0.5913742828792813,0.3497235424509842,9.277325697573252e-11,0.010019617298251373,1.5728521026742484,0.0013801448754439814,0.5913742828792813
11,MMSE,100,0.589651451775429,0.3476888345808711,1.0841898545648353e-10,0.02153343292369118,24.789145551487007,0.002979423699550898,0.589651451775429
28,CDR,100,-0.5894092098477705,0.3474032166533731,1.108128355981369e-10,-0.0030719654292027544,0.38810463293929,0.00042531317182357167,0.5894092098477705
3,即刻记忆,100,0.5887243971545776,0.3465964158050208,1.1785847489376866e-10,0.024377301136445442,21.61729694058019,0.0033810477710256247,0.5887243971545776
9,CDR_SOB,100,0.5876707040945004,0.34535685645092584,1.2954777472526082e-10,0.011689404528141675,1.6359255642201092,0.0016257270089878634,0.5876707040945004
0,延迟回忆,100,-0.5820219052796883,0.3387494982253985,2.1384932978022466e-10,-0.03621143020341878,6.981050001432764,0.005110652090110427,0.5820219052796883
11,线索回忆,100,0.5735832413320182,0.32899773473694427,4.442668837421104e-10,0.01991052894088658,7.900110299337829,0.0028723363812512776,0.5735832413320182
11,延迟回忆,100,0.5697827040655261,0.3246523298522229,6.133912536757467e-10,0.022780958258531415,6.185342968068555,0.00331904691673853,0.5697827040655261
11,MoCA总分,100,0.5677495273494916,0.32233952580557107,7.277050177433321e-10,0.02468030501401352,20.769103736427045,0.0036148208712965643,0.5677495273494916
22,MoCA总分,100,-0.567115552648527,0.32162005005584415,7.673521633458009e-10,-0.021245030247895973,21.93346848975737,0.0031168023315555943,0.567115552648527
0,CDR_SOB,100,0.5660615202458165,0.3204256447030049,8.378992206842489e-10,0.01603784405267135,1.6400929323788835,0.002359325196852498,0.5660615202458165
12,TMT B-A,100,0.565244850622519,0.31950174115527374,8.967986648725986e-10,0.17632098304649046,53.88535907714038,0.0259936852098431,0.565244850622519
25,CDR,100,0.564745172734341,0.31893711012674064,9.347745712951243e-10,0.002079856839342543,0.3085079766707957,0.000307016336995263,0.564745172734341
12,CDR_SOB,100,0.5642607550084668,0.318390199642725,9.730612296906246e-10,0.006771368136301526,1.5705520212519029,0.001000809582982495,0.5642607550084668
19,线索回忆,100,0.5635355996164078,0.31757237203502425,1.033200711088131e-09,0.01782036207721287,7.634663320203451,0.0026388240283515313,0.5635355996164078
3,CDR_SOB,100,-0.5626998628815375,0.3166311356869011,1.1069374101230317e-09,-0.006596060047767921,2.017197037146342,0.0009788639788704694,0.5626998628815375
9,CDR,100,0.5607957085117893,0.31449182668523973,1.294271916128463e-09,0.002019278177755899,0.3316570739852207,0.00030115130616335605,0.5607957085117893
28,CDR_SOB,100,-0.5594942643399691,0.3130338318293232,1.4394252596557676e-09,-0.01610875297185153,1.947374897217212,0.0024105765074316533,0.5594942643399691
22,Boston-初始命名,100,-0.557550540221552,0.31086260490134454,1.6856429714939595e-09,-0.018636082936762586,23.64830867917591,0.0028029171716568596,0.557550540221552
20,延迟回忆,100,0.5557777585359588,0.30888891688325454,1.9450368016573316e-09,0.017311361549080903,5.839085526556601,0.0026157182037370415,0.5557777585359588
19,长时延迟再认,100,0.5529022702645038,0.3057009204636424,2.448983344387346e-09,0.016217200777327714,9.132719311768806,0.0024688106218583323,0.5529022702645038
12,MMSE,100,-0.552642117568538,0.30541331011063777,2.5002971772153283e-09,-0.013302085292455324,25.65074149301174,0.002026403555404823,0.552642117568538
29,CDR,100,0.5468993147675746,0.29909886049324264,3.934072938399863e-09,0.0016773712774207123,0.32197346192381826,0.00025938040738414413,0.5468993147675746
9,MMSE,100,-0.5452640842761057,0.2973129216014601,4.469090769990151e-09,-0.02175426464738494,25.505346494702373,0.003378356380845582,0.5452640842761057
22,延迟回忆,100,-0.5432697624107896,0.29514203474987577,5.21622590479269e-09,-0.018718468576310092,7.230997865511164,0.002922083010851415,0.5432697624107896
19,MoCA总分,100,0.5428006655626285,0.2946325625352325,5.408597058743538e-09,0.021495271576913923,20.461582191727256,0.0033596747133598287,0.5428006655626285
9,线索回忆,100,-0.5406771052913497,0.29233173218623326,6.367722844532785e-09,-0.020504252402587655,8.567801113901382,0.00322261023800636,0.5406771052913497
12,MoCA总分,100,-0.5384425139689618,0.28992034084921564,7.551999836784218e-09,-0.01542733581378902,21.76275566011028,0.002438889298140688,0.5384425139689618
22,线索回忆,100,-0.5384361573400254,0.2899134955310926,7.55565167920647e-09,-0.01610692419540853,8.805753282819289,0.002546366957630288,0.5384361573400254
3,MMSE,100,0.5375097175432813,0.28891669645345797,8.106350116932563e-09,0.012637852426965189,24.78385701719644,0.00200278422696402,0.5375097175432813
22,长时延迟再认,100,-0.5334980686912887,0.28462018929733496,1.0966528616478675e-08,-0.014802790853837242,10.203184485869178,0.002370642431145544,0.5334980686912887
0,连线测验A,100,0.5304793225683904,0.28140831167261837,1.3731177453478955e-08,0.2290422695411222,61.26630915207049,0.03697219500732556,0.5304793225683904
11,长时延迟再认,100,0.5285950825523135,0.2794127612984871,1.5782257824871824e-08,0.01701930476689568,9.395274393132906,0.0027608889730473198,0.5285950825523135
9,延迟回忆,100,-0.5279204945805126,0.278700048598133,1.658539129263914e-08,-0.023059551921344606,6.943667725051619,0.0037473758659944873,0.5279204945805126
20,CDR,100,-0.524988287329426,0.275612701833084,2.0553235956801096e-08,-0.0013479966303135795,0.42080804654101245,0.00022075551786239375,0.524988287329426
0,连线测验B,100,0.5245409510846106,0.2751432093647479,2.1233145949029745e-08,0.5224865389222194,118.20049116351508,0.08566605637838387,0.5245409510846106
0,MMSE,100,-0.5243195586570709,0.27491099959034565,2.1577541369437747e-08,-0.02979597351464844,25.49708399308511,0.0048881456927113735,0.5243195586570709
23,CDR,100,0.5241867295452638,0.2747717274313595,2.17867238076898e-08,0.0018483393392916619,0.3065279054692575,0.00030333324442198377,0.5241867295452638
19,MMSE,100,0.5234242440499389,0.27397293925925004,2.302550057818517e-08,0.01741327897581199,24.56940520120009,0.0028634532010620617,0.5234242440499389
9,连线测验B,100,0.5221658599523925,0.2726571852998216,2.521838352046136e-08,0.3651574573218936,118.2845888948687,0.06024600303904804,0.5221658599523925
20,即刻记忆,100,0.5218508212317544,0.2723282796202565,2.579782570804474e-08,0.02614678148941337,21.24052026692673,0.004317442645727303,0.5218508212317544
0,MoCA总分,100,-0.5211853536866768,0.2716341728975064,2.706388809975831e-08,-0.035255718136519586,21.591520970373097,0.0058317527887538885,0.5211853536866768
9,MoCA总分,100,-0.51995819368052,0.2703565231755091,2.9555803896373914e-08,-0.024693450704991248,21.58660140147653,0.004097846356810179,0.51995819368052
11,即刻记忆,100,0.5162960762733128,0.2665616383752184,3.836209442295954e-08,0.033204989960210214,21.786454114105876,0.005563822950695666,0.5162960762733128
15,延迟回忆,100,0.511243387188682,0.2613698009441566,5.4701007963540926e-08,0.02151994509452389,6.135993166646219,0.0036543820371821487,0.511243387188682
23,CDR_SOB,100,0.508608567251714,0.25868267468184125,6.56695861656584e-08,0.00990709284190411,1.513389747377148,0.0016941489803988785,0.508608567251714
5,长时延迟再认,100,-0.508478656159026,0.258550543769289,6.626135180728379e-08,-0.014013126349149845,10.437982903724674,0.002397121503292013,0.508478656159026
22,即刻记忆,100,-0.5068631173987818,0.25691021977921125,7.405848651551235e-08,-0.028092298465023566,23.33697321976195,0.0048261874942356585,0.5068631173987818
5,线索回忆,100,-0.505116744901317,0.2551429259797021,8.346834368393302e-08,-0.01500796205527679,9.04895475762916,0.002590319844177583,0.505116744901317
5,MMSE,100,-0.5047948069593511,0.2548177971331285,8.532305465783525e-08,-0.015778887929939926,26.008454265751464,0.002725710406830857,0.5047948069593511
5,即刻记忆,100,-0.5040273375814994,0.25404355702949477,8.990424674973787e-08,-0.027746118362814307,23.841612717452623,0.004802770550612243,0.5040273375814994
15,CDR,100,-0.5037218280035657,0.2537356800072538,9.179234860070163e-08,-0.001747887009374065,0.39931186872231506,0.0003028000098502384,0.5037218280035657
12,延迟回忆,100,-0.5036152328526696,0.25362830276124865,9.24599723711958e-08,-0.013271482311791885,7.069704510246137,0.0022997737798266054,0.5036152328526696
3,MoCA总分,100,0.5034598851425091,0.25347185594770844,9.344123315818538e-08,0.014090541182418216,20.776022447575293,0.0024427153187913824,0.5034598851425091
12,线索回忆,100,-0.5010601769257306,0.25106130090084444,1.0991908720820518e-07,-0.011463944626905524,8.66845605056119,0.0020001118845215183,0.5010601769257306
28,MMSE,100,0.4997784873403309,0.2497785364081893,1.1981876457012725e-07,0.028861773190013484,24.935950953818878,0.005052742381016246,0.4997784873403309
25,MMSE,100,-0.49976216943997814,0.24976222600335343,1.1995011497233075e-07,-0.020393432901693827,25.70489009766101,0.0035703713236068992,0.49976216943997814
3,长时延迟再认,100,0.49898149829425464,0.24898253563997924,1.2639682512967208e-07,0.010343611475545387,9.379402469108571,0.0018146786799501807,0.49898149829425464
29,即刻记忆,100,-0.49843926797158244,0.24844170385604697,1.310672664285083e-07,-0.029830926790642875,23.09627655768405,0.005241104216433575,0.49843926797158244
9,即刻记忆,100,-0.49658980250752455,0.24660143195446224,1.4826479691213763e-07,-0.03489168486324948,22.9097455207034,0.006160606952653024,0.49658980250752455
29,MMSE,100,-0.49644733562610677,0.2464599570502603,1.496750848482648e-07,-0.016871008800183156,25.582471112483972,0.002979943278901188,0.49644733562610677
25,线索回忆,100,-0.49297192845830834,0.2430213222479035,1.8830874816027744e-07,-0.019121307863003825,8.753395481814954,0.0034089779306123546,0.49297192845830834
31,即刻记忆,100,0.49048307775326055,0.24057364956231103,2.2161980161030266e-07,0.07409127419797697,21.872485384062298,0.013297586639737005,0.49048307775326055
29,线索回忆,100,-0.48772325666765953,0.2378739750945077,2.6509149575308833e-07,-0.015754686905622133,8.637163741599409,0.002848634107810769,0.48772325666765953
9,连线测验A,100,0.4845159646332207,0.2347557199844604,3.257930128154607e-07,0.14686938074144576,61.48851682346341,0.02678614283984999,0.4845159646332207
5,延迟回忆,100,-0.48246961540625594,0.23277692979026052,3.7119297127341457e-07,-0.016511111401426498,7.465970799973337,0.0030279878530641365,0.48246961540625594
17,CDR_SOB,100,0.4821924727085504,0.23250958073678615,3.777850908231227e-07,0.007441868384515462,1.559237911484879,0.0013657933755226624,0.4821924727085504
25,即刻记忆,100,-0.48125244647682947,0.23160391723993362,4.009827474725299e-07,-0.03458490120765809,23.27623515337041,0.006363457126384534,0.48125244647682947
28,延迟回忆,100,0.4796649874192737,0.230078500155932,4.4325818304962156e-07,0.03032691937321862,6.342546702817241,0.005604030156801505,0.4796649874192737
15,即刻记忆,100,0.4785598837493475,0.229019562334189,4.751508719379142e-07,0.03240347207862909,21.691210877093,0.0060057036646048905,0.4785598837493475
0,数字广度逆向,100,-0.4762830435111242,0.22684553753621944,5.478579037268604e-07,-0.007665294378342213,4.686427650902939,0.0014294988608341756,0.4762830435111242
14,延迟回忆,100,-0.4736542819160197,0.2243483787773803,6.449245950043649e-07,-0.020805402776485057,7.093818635156543,0.003907823808339828,0.4736542819160197
28,长时延迟再认,100,0.4731749464673811,0.22389452996440898,6.642977090820813e-07,0.024091730141167073,9.499590868421443,0.004530994995922217,0.4731749464673811
17,CDR,100,0.4712014618902654,0.22203081768752325,7.500294203758312e-07,0.0013164407308301135,0.31741002079255837,0.00024892174724742733,0.4712014618902654
20,MoCA总分,100,0.4708601536777436,0.2217092843214283,7.658820655428068e-07,0.015946046229707096,20.52067481811464,0.0030179981264066395,0.4708601536777436
28,MoCA总分,100,0.46876832198979135,0.2197437397011247,8.702017832004685e-07,0.03222400738955186,20.94519072548568,0.006133761509634083,0.46876832198979135
14,长时延迟再认,100,-0.46734545398722477,0.21841177336252524,9.487093788609475e-07,-0.016531362642118054,10.096482386258785,0.003158977968016948,0.46734545398722477
23,MoCA总分,100,-0.4665940818435577,0.21771003721143264,9.928294500244485e-07,-0.021699853279577488,21.86777249891434,0.0041551663248296285,0.4665940818435577
31,延迟回忆,100,0.465805430334378,0.21697469892899507,1.0412262601287173e-06,0.04374271954390409,6.296753051551579,0.008394137767996836,0.465805430334378
20,长时延迟再认,100,0.4656662227719253,0.21684503103067237,1.0499977507143694e-06,0.011680482190638884,9.193094154171135,0.0022423161775489545,0.4656662227719253
28,线索回忆,100,0.46547559780312747,0.2166675321501789,1.0621226866811668e-06,0.02555117130319683,8.046238811212262,0.004907653828423008,0.46547559780312747
20,线索回忆,100,0.4616943025111078,0.21316162897121835,1.3318808317133118e-06,0.01248556489994394,7.716776921801348,0.0024231673503217017,0.4616943025111078
31,线索回忆,100,0.4592362752997885,0.21089795655122312,1.5407458318689587e-06,0.037442172199681795,8.00331240414351,0.007316079171605934,0.4592362752997885
20,CDR_SOB,100,-0.45911031280974407,0.21078227932826105,1.55224343653805e-06,-0.006512130832060323,2.0937618283400075,0.0012728916720873504,0.45911031280974407
28,即刻记忆,100,0.458759394268078,0.21046018182921383,1.584704301099608e-06,0.04665702580964624,21.993146698867836,0.009128639592338289,0.458759394268078
14,线索回忆,100,-0.4579798258677282,0.20974552090183463,1.6591297999835483e-06,-0.017465644859355492,8.677759567468792,0.0034245910919664157,0.4579798258677282
29,长时延迟再认,100,-0.4564823546607195,0.20837614011659492,1.811466283411905e-06,-0.013677057074406859,10.030063215348356,0.002692867994509423,0.4564823546607195
20,MMSE,100,0.45472893763184263,0.20677840671978423,2.0066493567174008e-06,0.012937126642719452,24.616406998870275,0.0025595844520780666,0.45472893763184263
11,Boston-初始命名,100,0.45398247468699515,0.2061000873229282,2.095637967133823e-06,0.017608299909817698,22.70403646021809,0.003490986569396749,0.45398247468699515
15,数字广度逆向,100,0.4506609963270964,0.20309533361053117,2.5388130998649917e-06,0.004907053558937135,4.499635059767744,0.0009818857852391947,0.4506609963270964
3,连线测验B,100,-0.4503305988761111,0.20279764828411687,2.5874411697787063e-06,-0.18558915839264273,129.52113528946808,0.037169985600789365,0.4503305988761111
15,MMSE,100,0.4502372623099169,0.20271359237232892,2.6013371093608164e-06,0.01731051799492469,24.81066773350787,0.003467869698830286,0.4502372623099169
15,线索回忆,100,0.4498848561734369,0.20239638381419398,2.6544416293301206e-06,0.01644138681952688,7.910215433380042,0.00329698971317261,0.4498848561734369
15,CDR_SOB,100,-0.44888017141789227,0.20149340829215634,2.8115176562042893e-06,-0.00860438594161722,1.9935219432142368,0.0017302771615560427,0.44888017141789227
15,长时延迟再认,100,0.44808307591845953,0.20077844292454797,2.9423423753953275e-06,0.015188957491668638,9.378383923137497,0.003061187861847347,0.44808307591845953
12,连线测验A,100,0.4480188261038313,0.20072086854345506,2.9531341600284438e-06,0.08193277587648946,60.773705839105446,0.016515723534136877,0.4480188261038313
5,MoCA总分,100,-0.4457122656045757,0.19865942371036385,3.3662728478648293e-06,-0.016584101242461492,22.089710540606724,0.0033645956870680064,0.4457122656045757
0,Boston-初始命名,100,-0.44453049495682495,0.19760736094655978,3.5985234824382474e-06,-0.026830175855693285,23.30751318511095,0.005461379933009484,0.44453049495682495
